"","H9_E8_r1","H9_E8_r2","H9_L3i_r1","H9_L3i_r2","RUES02_E8","RUES02_L3i"
"ENSG00000235143",0,0,0,0,0,2
"ENSG00000225478",2,0,0,0,0,0
"ENSG00000028137",221,282,197,206,4212,1719
"ENSG00000204464",0,2,0,0,0,0
"ENSG00000233372",0,0,0,0,0,0
"ENSG00000283259",0,0,0,0,0,0
"ENSG00000284543",0,0,0,0,2,0
"ENSG00000130939",10005,11244,13991,11791,20980,17201
"ENSG00000175147",111,108,347,194,130,140
"ENSG00000127472",269,126,12,194,52,86
"ENSG00000060656",11807,18479,19291,21475,37337,37374
"ENSG00000163867",1275,1400,1046,997,1806,1189
"ENSG00000232768",0,8,6,3,0,0
"ENSG00000230214",0,0,0,0,0,0
"ENSG00000189280",21,8,57,57,29,13
"ENSG00000134698",8034,7153,5172,4849,13792,7122
"ENSG00000134690",4443,7594,891,2383,11905,13935
"ENSG00000272420",15,97,22,30,32,52
"ENSG00000132881",1126,787,696,744,1882,881
"ENSG00000273274",599,853,779,356,1744,786
"ENSG00000272510",0,6,0,0,0,2
"ENSG00000236648",18,16,8,22,16,15
"ENSG00000232273",0,0,2,0,10,2
"ENSG00000009709",3925,6946,652,768,3592,1300
"ENSG00000287396",0,0,0,0,0,0
"ENSG00000223589",0,0,4,0,0,0
"ENSG00000158008",4834,4071,657,854,3912,1205
"ENSG00000130940",4288,3768,5109,4539,10322,5766
"ENSG00000116771",18,50,9,48,126,62
"ENSG00000237301",58,37,18,9,77,17
"ENSG00000163879",4480,4595,1948,1713,4591,2696
"ENSG00000227527",28,69,14,47,73,64
"ENSG00000116954",1849,3031,3639,4945,4352,5271
"ENSG00000228589",83,319,80,190,384,276
"ENSG00000163873",11613,8642,1967,2273,34634,35103
"ENSG00000117215",2,0,0,0,2,0
"ENSG00000196449",1797,2105,2057,1913,3045,2573
"ENSG00000230163",0,0,0,0,0,0
"ENSG00000227538",0,1,0,2,0,0
"ENSG00000236500",0,0,0,0,0,0
"ENSG00000044012",0,0,0,0,0,0
"ENSG00000179051",16460,25675,8759,15575,42154,37100
"ENSG00000215895",2,19,8,15,19,9
"ENSG00000284650",6,0,0,0,4,0
"ENSG00000237329",0,1,0,2,0,0
"ENSG00000236948",4,0,0,0,2,0
"ENSG00000126067",13661,17670,8285,12431,26935,22066
"ENSG00000274944",0,1,0,0,3,1
"ENSG00000132906",2397,2674,1398,2304,4473,4248
"ENSG00000197312",3520,3469,4825,2913,7573,6424
"ENSG00000284748",28,35,30,18,9,0
"ENSG00000272078",110,193,378,607,615,310
"ENSG00000173660",26816,24284,25945,29515,22875,17557
"ENSG00000224592",418,487,610,843,419,561
"ENSG00000233728",0,0,0,0,0,0
"ENSG00000230451",1,0,6,5,0,0
"ENSG00000231606",0,0,0,1,4,0
"ENSG00000215900",0,0,0,0,2,0
"ENSG00000284632",0,1,0,0,1,0
"ENSG00000241014",6,11,14,7,22,12
"ENSG00000054118",28816,28875,19921,20966,43522,38756
"ENSG00000254553",0,0,4,2,2,0
"ENSG00000284653",0,0,0,0,0,0
"ENSG00000237749",12,20,2,26,12,12
"ENSG00000276747",1,0,0,0,0,0
"ENSG00000284705",200,194,6,42,345,210
"ENSG00000228776",0,0,0,0,0,0
"ENSG00000159339",0,0,0,0,2,0
"ENSG00000197982",12718,12841,7460,12134,12300,7454
"ENSG00000261781",0,0,0,0,0,0
"ENSG00000183317",4359,2121,535,678,2095,994
"ENSG00000183386",606,665,1151,1425,2059,1730
"ENSG00000284743",0,0,0,0,0,0
"ENSG00000158315",34,46,128,128,41,44
"ENSG00000204084",1618,2049,912,1260,3344,3224
"ENSG00000186973",221,215,36,229,196,257
"ENSG00000146463",13140,12269,8373,8872,29050,20045
"ENSG00000183520",4555,6022,3674,3788,7234,6243
"ENSG00000271741",0,0,0,0,1,0
"ENSG00000214141",4,10,2,9,2,2
"ENSG00000142686",3997,3656,1872,4552,9709,3887
"ENSG00000224751",0,2,6,0,8,0
"ENSG00000117148",62,65,8,24,19,16
"ENSG00000230585",0,2,9,4,16,4
"ENSG00000117000",8840,7593,9617,5820,15230,14984
"ENSG00000284989",0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0
"ENSG00000092853",1791,3357,594,784,7457,7493
"ENSG00000255811",0,1,0,0,0,0
"ENSG00000134697",7528,8637,15340,8281,13817,10093
"ENSG00000187513",0,1,24,0,6,0
"ENSG00000238145",0,0,0,0,0,0
"ENSG00000225142",0,0,0,2,0,0
"ENSG00000230138",0,5,0,5,0,2
"ENSG00000223390",0,1,11,0,0,3
"ENSG00000284720",6,0,0,0,0,0
"ENSG00000225671",0,1,0,2,0,0
"ENSG00000116151",1853,1407,620,858,3252,2807
"ENSG00000226147",0,1,6,2,1,0
"ENSG00000006555",50,65,0,230,34,64
"ENSG00000236111",0,10,0,16,0,0
"ENSG00000066056",0,0,10,1,46,14
"ENSG00000214114",833,808,341,408,1460,1325
"ENSG00000116544",2577,1830,1444,1655,5067,1191
"ENSG00000231900",0,0,0,0,0,0
"ENSG00000236723",12,22,8,4,16,5
"ENSG00000232467",0,2,2,0,0,0
"ENSG00000117016",14991,9481,6938,9610,40463,15178
"ENSG00000121310",3154,2009,1229,2147,2997,863
"ENSG00000169213",19993,11731,6064,7112,38763,9418
"ENSG00000163866",3155,3799,1234,2769,5636,5218
"ENSG00000225779",0,2,0,0,2,0
"ENSG00000284601",0,0,0,0,2,0
"ENSG00000237130",0,0,0,0,0,0
"ENSG00000143001",0,5,0,2,9,2
"ENSG00000227416",2,0,0,0,0,0
"ENSG00000232335",0,0,0,0,1,1
"ENSG00000260971",72,87,11,37,135,117
"ENSG00000259832",0,0,0,0,0,0
"ENSG00000284696",0,0,0,0,2,0
"ENSG00000238242",0,2,0,0,0,0
"ENSG00000285839",0,0,0,0,0,0
"ENSG00000237290",24,44,147,83,21,32
"ENSG00000232762",0,0,0,0,3,0
"ENSG00000117419",11269,13059,4696,8130,14849,11051
"ENSG00000162384",5554,6484,2984,4138,6901,5546
"ENSG00000162391",0,6,2,2,14,40
"ENSG00000174348",177,140,327,218,355,304
"ENSG00000117859",12229,12595,8003,9264,18955,13287
"ENSG00000228121",0,2,0,0,8,6
"ENSG00000253313",0,2,22,6,4,0
"ENSG00000162396",1022,1432,833,1321,2270,1005
"ENSG00000203995",103,85,52,35,105,94
"ENSG00000284686",1,9,7,16,27,34
"ENSG00000162378",11779,10763,15181,11637,21452,14986
"ENSG00000233079",5,0,0,0,0,0
"ENSG00000259818",14,6,21,0,34,11
"ENSG00000229444",104,175,359,321,153,83
"ENSG00000240563",0,6,12,20,24,61
"ENSG00000234318",0,0,0,0,4,1
"ENSG00000284773",66,123,74,98,35,46
"ENSG00000234481",0,1,4,2,3,0
"ENSG00000117862",1461,2089,961,1526,2373,2194
"ENSG00000235612",0,0,0,0,2,0
"ENSG00000228369",0,0,0,1,1,1
"ENSG00000183431",13698,17358,10725,11354,26219,21625
"ENSG00000227485",0,0,0,0,0,0
"ENSG00000224609",37,22,10,21,94,10
"ENSG00000235545",70,34,41,21,70,46
"ENSG00000236646",0,4,0,0,0,0
"ENSG00000232198",0,0,0,0,0,0
"ENSG00000238063",0,4,4,0,4,4
"ENSG00000227104",0,0,0,0,0,0
"ENSG00000243725",107,298,125,304,566,437
"ENSG00000171872",36,15,22,37,8,2
"ENSG00000162407",11439,15030,7968,13899,32637,38650
"ENSG00000285079",2,0,0,0,0,0
"ENSG00000169218",9908,12527,3838,7381,2468,1503
"ENSG00000163877",4502,5046,3429,3330,5093,5905
"ENSG00000228929",28,308,70,528,284,290
"ENSG00000224570",0,0,0,0,0,0
"ENSG00000224980",0,2,0,0,0,1
"ENSG00000278967",10,4,9,4,2,3
"ENSG00000157184",2514,2890,879,1746,3632,1808
"ENSG00000198815",10095,13048,12700,10792,13570,15038
"ENSG00000134744",14043,13481,11494,8958,23902,19916
"ENSG00000233910",2,2,0,5,6,6
"ENSG00000287703",0,0,6,6,1,0
"ENSG00000283039",0,0,0,0,0,0
"ENSG00000229032",0,0,1,0,0,0
"ENSG00000229294",10,4,0,2,22,0
"ENSG00000232993",0,0,0,0,0,0
"ENSG00000234088",0,0,0,0,0,0
"ENSG00000236973",0,2,0,0,1,0
"ENSG00000277397",0,0,0,0,0,0
"ENSG00000271200",47,14,15,24,51,29
"ENSG00000235446",0,0,0,0,0,0
"ENSG00000261196",0,0,0,0,0,0
"ENSG00000162385",3719,6593,2346,4305,7193,7504
"ENSG00000234264",4,3,0,0,16,4
"ENSG00000242391",2,0,0,1,0,1
"ENSG00000223883",1,9,30,26,8,2
"ENSG00000284808",0,2,3,0,0,2
"ENSG00000237227",0,0,0,0,0,0
"ENSG00000275350",2,0,0,0,0,0
"ENSG00000116652",89,23,59,4,50,23
"ENSG00000123080",4867,6345,1266,2345,6751,5895
"ENSG00000285778",24,0,0,0,35,2
"ENSG00000233407",0,0,0,0,0,0
"ENSG00000225675",28,10,14,12,45,5
"ENSG00000237622",0,0,0,0,0,0
"ENSG00000162598",4,4,4,0,2,3
"ENSG00000280317",0,0,0,0,0,0
"ENSG00000162415",11337,10568,2859,4784,17042,8335
"ENSG00000162600",847,1013,753,911,981,702
"ENSG00000116704",2392,2661,1745,1447,3910,3620
"ENSG00000227644",0,0,0,0,0,0
"ENSG00000157193",6723,5690,3046,4437,11010,4156
"ENSG00000116205",2509,2690,1786,1616,5047,3444
"ENSG00000198841",650,796,525,799,767,724
"ENSG00000116212",4438,6237,5708,6894,8601,9167
"ENSG00000234204",0,0,0,0,0,0
"ENSG00000233099",0,0,0,0,0,0
"ENSG00000233994",12,12,18,12,22,14
"ENSG00000233973",0,0,0,0,0,0
"ENSG00000237552",0,2,0,0,0,4
"ENSG00000132854",271,184,186,322,375,561
"ENSG00000227556",0,0,0,0,0,0
"ENSG00000162607",17896,14812,13039,9865,22683,26364
"ENSG00000233602",8,0,70,0,1,9
"ENSG00000233271",0,0,0,0,0,0
"ENSG00000285954",8,0,0,4,0,0
"ENSG00000233333",0,0,0,0,0,0
"ENSG00000154027",486,477,1255,1492,1098,1372
"ENSG00000234108",0,0,0,0,0,0
"ENSG00000232676",0,2,0,0,2,0
"ENSG00000225167",4,0,0,0,0,0
"ENSG00000213579",0,2,0,0,0,0
"ENSG00000137960",15,5,10,10,13,18
"ENSG00000237852",1,7,0,4,1,0
"ENSG00000116745",78,40,0,80,46,64
"ENSG00000132855",4,3,10,4,6,14
"ENSG00000285407",10,1,0,43,0,0
"ENSG00000272855",29,44,47,55,42,98
"ENSG00000270549",0,0,0,0,0,0
"ENSG00000237163",0,0,0,0,0,0
"ENSG00000229636",0,0,0,0,0,0
"ENSG00000116675",11391,10322,3460,4159,13656,4264
"ENSG00000162433",4738,8583,3516,3552,7356,19125
"ENSG00000213625",7379,8523,4447,8435,7917,7749
"ENSG00000227207",0,0,0,0,0,0
"ENSG00000227016",0,0,0,0,0,0
"ENSG00000233664",0,0,0,0,0,0
"ENSG00000158966",2958,3043,2805,3606,6593,5953
"ENSG00000213703",0,0,0,0,0,0
"ENSG00000203965",3153,1499,1033,1018,2207,1404
"ENSG00000223479",0,0,0,0,0,0
"ENSG00000233674",2,6,6,4,2,6
"ENSG00000153898",0,8,16,34,16,2
"ENSG00000117069",1286,921,362,492,1731,2290
"ENSG00000125703",2609,2542,1737,1929,2840,2812
"ENSG00000285041",0,6,4,0,0,2
"ENSG00000285808",0,0,0,0,1,0
"ENSG00000229440",0,0,0,0,0,0
"ENSG00000234144",13,12,4,1,23,0
"ENSG00000213540",3,2,43,8,23,8
"ENSG00000277670",0,0,0,0,0,0
"ENSG00000227466",0,0,0,0,0,0
"ENSG00000154007",0,0,0,0,0,0
"ENSG00000230498",16,0,3,0,0,4
"ENSG00000285782",0,0,0,0,3,0
"ENSG00000162618",1,0,16,17,0,0
"ENSG00000224493",0,0,0,0,3,0
"ENSG00000131233",0,1,3,9,0,3
"ENSG00000272371",0,7,2,0,7,8
"ENSG00000287647",0,0,2,0,4,3
"ENSG00000229225",0,0,0,0,0,0
"ENSG00000230863",14,5,8,8,6,0
"ENSG00000287224",0,0,0,2,0,0
"ENSG00000225598",0,0,0,0,0,0
"ENSG00000286455",0,0,0,0,0,0
"ENSG00000225087",0,1,4,5,2,7
"ENSG00000280378",20,33,60,7,27,14
"ENSG00000188786",2806,2437,3849,2330,4863,4937
"ENSG00000230053",0,0,0,0,0,0
"ENSG00000137941",7510,6639,5436,2720,6617,4531
"ENSG00000224326",0,0,0,0,2,0
"ENSG00000286548",50,20,9,3,65,16
"ENSG00000066135",4406,5091,3370,4898,12232,8984
"ENSG00000230027",8,11,0,16,18,10
"ENSG00000233061",34,8,11,0,4,2
"ENSG00000272094",0,6,0,0,2,0
"ENSG00000228853",0,0,0,0,0,0
"ENSG00000215874",0,0,0,0,0,0
"ENSG00000232453",18,6,2,12,24,21
"ENSG00000260386",0,0,0,0,0,0
"ENSG00000284895",0,0,0,0,0,0
"ENSG00000117174",2714,3506,2481,3244,6004,5785
"ENSG00000237413",0,0,0,0,1,0
"ENSG00000184313",8,2,2,0,13,11
"ENSG00000284645",0,0,0,0,1,8
"ENSG00000225605",0,1,0,0,3,0
"ENSG00000225446",79,66,16,59,54,13
"ENSG00000288543",15,21,21,18,39,42
"ENSG00000122420",272,158,200,244,1011,330
"ENSG00000284240",0,0,0,0,0,0
"ENSG00000236290",4,2,0,4,2,4
"ENSG00000143013",14777,14175,7873,14095,16853,9735
"ENSG00000226084",415,2410,404,3029,2266,2757
"ENSG00000134748",11332,13240,10758,10115,18362,16209
"ENSG00000142892",5978,4811,2028,3600,5930,4546
"ENSG00000219102",0,6,6,15,7,10
"ENSG00000184005",13998,11681,5896,8437,14775,15986
"ENSG00000230953",21,1,6,2,6,1
"ENSG00000287743",32,27,4,14,81,17
"ENSG00000229332",0,0,0,0,0,0
"ENSG00000227937",0,0,0,0,0,0
"ENSG00000229752",0,0,0,2,2,0
"ENSG00000237505",38,20,24,21,34,21
"ENSG00000285462",0,0,0,0,0,0
"ENSG00000233216",0,0,0,0,0,0
"ENSG00000197273",0,0,0,0,0,0
"ENSG00000226804",1,0,2,0,0,0
"ENSG00000230728",2,5,0,2,0,0
"ENSG00000232846",0,0,0,0,0,0
"ENSG00000230787",0,0,0,2,2,4
"ENSG00000116641",7752,5585,2257,2778,15105,12455
"ENSG00000223920",0,0,0,0,0,0
"ENSG00000237453",0,0,0,2,2,4
"ENSG00000172260",4375,3282,1725,2804,3821,1143
"ENSG00000285473",2,0,0,2,0,0
"ENSG00000237959",0,0,0,0,0,0
"ENSG00000231364",0,0,0,0,0,0
"ENSG00000234578",0,0,0,0,0,0
"ENSG00000117480",7449,5967,721,840,4215,1813
"ENSG00000137944",4036,4667,4029,5338,5992,6206
"ENSG00000229505",10,1,0,0,0,0
"ENSG00000228187",0,0,0,2,6,2
"ENSG00000285201",2,0,0,0,0,0
"ENSG00000182183",56,92,36,88,205,189
"ENSG00000236407",0,0,0,0,0,0
"ENSG00000271949",0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0
"ENSG00000067334",12345,9596,6738,5934,11372,11202
"ENSG00000235011",0,0,0,0,0,0
"ENSG00000235673",0,0,8,1,3,0
"ENSG00000226938",0,0,0,0,0,0
"ENSG00000213559",0,0,0,0,0,2
"ENSG00000287587",30,28,7,8,34,21
"ENSG00000142949",152960,155269,83096,87030,235948,158231
"ENSG00000116133",5193,10187,10578,13784,11355,21928
"ENSG00000232882",6,23,2,4,48,26
"ENSG00000171502",113,65,50,83,193,412
"ENSG00000162399",2,6,0,6,14,52
"ENSG00000116157",5319,4910,1137,4245,5969,5029
"ENSG00000143036",1196,1937,1126,1423,2298,1416
"ENSG00000232672",0,0,0,0,1,0
"ENSG00000230817",0,0,2,0,2,0
"ENSG00000065243",12454,10730,8302,5995,15023,13237
"ENSG00000226759",0,0,0,0,6,0
"ENSG00000226960",0,0,0,0,0,0
"ENSG00000234080",0,6,2,2,0,2
"ENSG00000237899",29,13,0,5,54,18
"ENSG00000223905",0,0,0,0,0,0
"ENSG00000227290",0,7,0,0,4,0
"ENSG00000229486",6,0,0,0,0,0
"ENSG00000282898",0,0,0,0,0,0
"ENSG00000285409",0,0,0,0,0,0
"ENSG00000231090",0,2,0,0,0,0
"ENSG00000117528",11175,9786,3246,5154,14648,9645
"ENSG00000271723",1,1,2,0,2,1
"ENSG00000172339",992,828,395,581,1148,878
"ENSG00000036549",8287,5779,8077,5875,10782,10708
"ENSG00000287724",0,0,6,0,0,0
"ENSG00000058799",3725,4030,2769,3531,5846,3490
"ENSG00000225191",0,2,0,0,0,0
"ENSG00000287870",38,26,30,43,55,46
"ENSG00000235563",49,18,181,26,35,21
"ENSG00000232048",0,0,0,0,0,0
"ENSG00000232857",0,0,0,0,0,0
"ENSG00000273637",0,0,0,0,0,0
"ENSG00000203985",0,4,4,43,0,0
"ENSG00000228838",0,0,5,0,4,0
"ENSG00000283761",25,36,37,33,64,52
"ENSG00000189433",2,1,8,1,0,0
"ENSG00000230759",0,0,0,0,2,0
"ENSG00000231866",4,0,0,0,1,0
"ENSG00000179178",14,21,6,29,61,38
"ENSG00000142700",28,38,50,146,36,171
"ENSG00000285525",0,0,0,0,4,0
"ENSG00000236098",0,0,0,0,0,0
"ENSG00000233514",6,12,0,2,14,4
"ENSG00000127124",4357,4223,4444,4803,6380,5438
"ENSG00000266993",25,26,25,2,30,31
"ENSG00000223675",0,2,0,1,2,0
"ENSG00000162604",6709,3953,3420,3577,3902,2995
"ENSG00000229316",0,0,0,0,0,0
"ENSG00000116171",22669,19474,8240,12809,24554,14932
"ENSG00000287406",49,10,0,3,41,14
"ENSG00000225767",0,0,2,1,1,1
"ENSG00000234099",0,0,0,0,2,1
"ENSG00000137936",765,765,1428,1861,1999,2795
"ENSG00000235308",10,16,0,0,7,8
"ENSG00000232752",0,0,0,0,0,0
"ENSG00000235829",6,0,0,0,0,0
"ENSG00000143032",766,1219,616,1789,4737,1766
"ENSG00000226745",0,2,0,0,0,0
"ENSG00000178028",7634,7872,3687,5598,11091,7062
"ENSG00000280040",6,0,0,2,14,5
"ENSG00000168710",29638,34256,24534,30832,39939,33496
"ENSG00000117519",27562,37684,30924,42423,40486,67336
"ENSG00000270507",0,0,0,0,0,0
"ENSG00000238037",0,0,0,0,0,0
"ENSG00000215869",5,2,0,2,3,4
"ENSG00000134215",481,318,277,467,854,330
"ENSG00000227935",0,0,0,0,4,2
"ENSG00000228502",101,214,132,313,207,204
"ENSG00000236268",30,16,4,6,14,7
"ENSG00000271277",0,0,0,0,0,0
"ENSG00000236888",0,0,2,0,1,0
"ENSG00000279778",0,0,0,0,2,0
"ENSG00000230955",0,0,0,0,0,0
"ENSG00000230828",0,0,0,0,0,0
"ENSG00000188641",3966,4446,1818,3254,3740,6989
"ENSG00000152078",1544,2051,1817,2879,1884,2735
"ENSG00000237279",0,0,0,0,0,0
"ENSG00000233359",0,0,0,0,0,0
"ENSG00000237954",0,0,0,0,6,0
"ENSG00000185668",7837,8720,20137,18414,9513,19437
"ENSG00000171492",3761,4928,4972,5935,7617,4946
"ENSG00000233129",0,0,0,0,1,0
"ENSG00000170989",3071,4926,8075,7972,3381,4979
"ENSG00000258634",1273,1783,1301,1899,2469,1743
"ENSG00000233557",0,0,0,0,0,0
"ENSG00000237897",6,0,2,2,0,0
"ENSG00000116299",1233,1416,505,735,1410,532
"ENSG00000137962",2279,1970,4887,2161,3338,3543
"ENSG00000227832",0,0,0,0,0,0
"ENSG00000286692",0,4,0,4,4,0
"ENSG00000260464",211,139,83,103,662,105
"ENSG00000237435",0,0,0,0,0,0
"ENSG00000231996",0,0,0,0,0,0
"ENSG00000273204",10,24,29,8,37,23
"ENSG00000079739",6002,9521,3578,7219,10047,18032
"ENSG00000117154",12135,19914,12907,21763,16802,7571
"ENSG00000162377",4292,3945,3284,2924,7231,4569
"ENSG00000224613",40,11,14,30,19,21
"ENSG00000215871",2,2,0,0,0,0
"ENSG00000287372",0,0,0,0,0,0
"ENSG00000232542",0,0,6,0,0,3
"ENSG00000116774",136,207,58,136,843,448
"ENSG00000287756",0,3,0,0,0,11
"ENSG00000284652",67,142,7,163,145,121
"ENSG00000023909",3512,3193,2122,3981,3283,3164
"ENSG00000069702",1032,1369,4084,2857,1804,2945
"ENSG00000232185",0,0,0,0,4,0
"ENSG00000230489",2,1,0,0,0,0
"ENSG00000228399",0,14,2,14,4,4
"ENSG00000236776",1,0,0,0,2,3
"ENSG00000224685",0,0,0,0,0,0
"ENSG00000287076",46,47,2,28,234,42
"ENSG00000237480",2,0,6,0,4,0
"ENSG00000271252",0,0,0,0,0,0
"ENSG00000230427",5,0,2,12,1,7
"ENSG00000235794",0,0,0,0,0,0
"ENSG00000286758",15,8,0,0,18,11
"ENSG00000237337",22,7,0,0,30,2
"ENSG00000233983",0,0,0,0,0,0
"ENSG00000198198",8939,3529,3454,1251,10700,4890
"ENSG00000225183",0,2,0,0,1,0
"ENSG00000230402",0,0,0,0,0,0
"ENSG00000116793",6751,7589,3252,4579,14191,10734
"ENSG00000238122",0,0,0,0,0,0
"ENSG00000260879",0,0,0,0,0,0
"ENSG00000283354",0,0,0,0,0,0
"ENSG00000232918",0,0,0,0,0,0
"ENSG00000236360",0,1,0,0,0,1
"ENSG00000183298",21,13,51,10,46,10
"ENSG00000234332",0,0,4,0,0,0
"ENSG00000117525",247,193,206,672,413,469
