"","E5C3_E8","E5C3_L3i","H9_E8","H9_L3i","RUES02_E8","RUES02_L3i"
"ENSG00000232768",0,2,0,2,2,0
"FTLP18",0,0,0,0,0,0
"GJB5",8,4,16,16,6,16
"AGO4",1645,1151,2988,1301,1774,1049
"CDCA8",4412,5031,7031,4372,3862,3694
"ENSG00000272420",4,10,11,4,6,4
"CPLANE2",167,155,236,127,112,161
"ZBTB8B",468,367,819,223,406,370
"ENSG00000272510",1,0,0,0,1,4
"LINC02810",0,0,0,0,0,0
"ENSG00000232273",0,10,0,13,1,2
"PAX7",10,28,155,12,9,0
"LOC124903825",0,0,0,0,0,0
"ENSG00000223589",0,4,0,0,0,2
"EXTL1",76,68,168,87,83,71
"CASZ1",325,146,658,119,277,114
"AGMAT",211,124,565,171,467,110
"ENSG00000237301",14,14,12,7,8,0
"DNALI1",709,180,1758,242,650,136
"ENSG00000227527",3,3,16,5,9,10
"RRAGC",1401,1396,1175,1671,629,1383
"ENSG00000228589",68,148,155,140,66,52
"GRIK3",52,37,349,44,118,66
"PLA2G2D",0,0,0,0,0,0
"YRDC",1141,1460,1240,1730,1100,1150
"ENSG00000230163",0,0,0,0,0,0
"ENSG00000227538",0,0,0,16,0,0
"ENSG00000236500",0,0,0,0,0,0
"GUCA2B",0,0,0,0,0,0
"RCC2",31048,57540,46295,39667,29463,40543
"HSPA5P1",15,33,14,97,6,22
"LOC124904027",0,0,0,0,0,0
"ENSG00000237329",0,2,1,0,2,0
"ENSG00000236948",0,0,0,0,0,0
"PSMB2",8965,10402,10841,9169,6711,7239
"ENSG00000274944",1,0,0,0,1,1
"CASP9",810,1275,1727,850,844,749
"DDI2",2798,5893,4510,5059,3130,4515
"ENSG00000284748",0,0,0,2,0,0
"ENSG00000272078",60,51,135,14,50,26
"UQCRH",10248,22485,12903,17828,8917,14085
"MIR3659HG",104,19,227,11,68,10
"ENSG00000233728",0,0,0,0,0,0
"RPS29P6",0,0,0,2,0,0
"ENSG00000231606",0,0,0,0,0,0
"ENSG00000215900",0,2,0,6,0,2
"ENSG00000284632",0,0,0,2,0,0
"ENSG00000241014",5,1,8,6,7,4
"THRAP3",12905,23846,25107,22175,16545,18669
"ENSG00000254553",0,0,1,0,0,0
"ENSG00000284653",0,0,0,0,0,0
"ENSG00000237749",6,34,14,218,4,28
"PADI6",1,0,1,2,0,8
"ENSG00000284705",10,0,16,0,14,0
"ENSG00000228776",0,0,0,0,0,0
"PADI4",43,40,31,12,9,14
"C1orf122",1351,2447,1953,2524,1192,1949
"LINC01654",0,0,0,0,0,0
"EPHA10",28,22,97,6,46,9
"FHL3",2168,2101,2067,2736,2394,2257
"ENSG00000284743",0,0,0,0,0,0
"RHBDL2",21,1,42,5,31,16
"INPP5B",1831,1493,2727,1238,1921,1304
"CFAP144",13,29,128,11,14,13
"ZMYM4",6243,8195,10537,6101,5185,6994
"UTP11",2843,3607,3285,3502,2621,2812
"ENSG00000271741",0,0,0,0,0,0
"ENSG00000214141",0,0,0,4,0,0
"C1orf216",570,1313,872,1336,634,1240
"ENSG00000224751",0,2,4,0,0,1
"ACTL8",16,20,61,12,37,18
"ENSG00000230585",16,7,5,2,1,3
"RLF",2083,2466,4198,2447,1697,1976
"ENSG00000284989",0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0
"CLSPN",2129,6167,3680,4780,2430,4027
"ENSG00000255811",0,0,0,0,0,0
"GNL2",8708,9389,10260,9241,7719,7306
"GJA4",25,36,130,28,46,26
"TUBAP8",0,0,0,0,0,0
"ENSG00000225142",0,2,0,34,0,2
"ENSG00000230138",0,0,0,4,0,2
"ENSG00000223390",5,1,0,0,0,2
"LOC124904023",0,0,4,4,4,2
"ENSG00000225671",0,0,2,2,0,0
"MORN1",229,481,509,370,194,342
"ENSG00000226147",0,0,0,0,0,0
"TTC22",64,26,95,20,64,15
"RPL6P1",2,8,8,6,4,2
"TIE1",285,14,457,4,149,16
"MYCBP",1025,1367,1514,1264,1018,1022
"DLGAP3",637,120,745,236,748,217
"GOT2P1",0,0,0,0,0,0
"ENSG00000236723",1,10,3,9,3,6
"ENSG00000232467",0,0,0,0,0,2
"RIMS3",3847,963,7804,889,3671,810
"ECHDC2",1405,2746,2141,1654,774,1889
"RAB3B",10854,13760,11368,8872,5792,7015
"SMIM12",1794,2341,2294,3003,1438,2151
"ENSG00000225779",0,1,0,0,0,1
"LOC105378736",1,0,0,0,5,0
"ENSG00000237130",0,0,0,0,0,0
"TMEM61",16,2,28,2,24,2
"ENSG00000227416",0,0,0,0,0,0
"CLSPN-AS1",0,4,1,0,1,2
"ENSG00000260971",2,8,4,3,0,5
"ENSG00000259832",0,0,0,0,0,0
"LINC02808",0,0,0,0,0,0
"ENSG00000238242",0,0,0,0,0,0
"ENSG00000285839",0,0,0,0,0,0
"LINC01343",2,1,16,0,5,0
"ENSG00000232762",6,30,1,6,3,14
"ERI3",4020,3435,6006,3301,3567,2513
"CZIB",2339,2635,3929,2228,1996,2106
"FAM151A",12,7,19,17,13,27
"PODN",19,8,33,168,6,20
"OSBPL9",6895,4782,9102,6659,6210,5713
"ENSG00000228121",0,2,2,9,2,8
"C1orf210",531,136,458,184,463,212
"PARS2",794,692,1143,545,733,593
"ZYG11A",203,2015,144,1367,145,1452
"ENSG00000284686",9,12,5,4,4,6
"ZYG11B",2707,2908,3847,3377,2448,2893
"LINC01755",0,0,0,0,0,0
"CZIB-DT",4,5,4,6,0,0
"ST3GAL3-AS1",0,0,0,0,1,0
"L1TD1",41589,72562,63258,43295,34966,43602
"ENSG00000234318",1,2,1,1,1,0
"ENSG00000284773",23,9,50,12,25,10
"ENSG00000234481",0,0,0,0,0,0
"TXNDC12",1018,803,1246,813,776,668
"ENSG00000235612",0,0,0,0,0,0
"TXNDC12-AS1",1,4,2,2,1,6
"SF3A3",9630,15488,14735,13880,9768,12111
"ENSG00000227485",0,0,0,0,0,0
"HSD52",25,24,72,21,16,10
"DOCK7-DT",10,56,55,19,15,16
"ENSG00000236646",0,2,0,0,0,0
"MTCO2P34",0,0,0,0,0,0
"ENSG00000238063",0,1,0,0,0,0
"PIGQP1",0,0,0,0,0,0
"TTC4",133,184,199,126,111,126
"KLF17",2,8,0,0,0,6
"PLPP3",3544,2106,3206,1811,2531,1540
"ENSG00000285079",0,0,0,0,0,0
"RSPO1",8,20,22,28,9,1
"SNIP1",1171,1287,1802,1204,925,1095
"RPS13P2",141,137,314,156,110,113
"ENSG00000224570",0,0,0,7,2,2
"RPL23AP85",0,0,0,0,0,0
"ENSG00000278967",0,6,6,2,5,0
"CPT2",1153,1359,2121,1197,1369,995
"FOXJ3",4188,3789,5980,3909,3208,3243
"TUT4",4289,4946,6248,3731,3081,4725
"GTF2F2P2",0,0,5,0,1,0
"ENSG00000287703",0,0,0,0,0,0
"KLF18",17,2,2,0,10,0
"ENSG00000229032",6,5,0,0,0,0
"ENSG00000229294",0,0,0,0,0,0
"ENSG00000232993",0,0,0,0,0,0
"RPS15AP7",0,0,0,0,0,0
"GAPDHP51",0,6,0,62,0,8
"ENSG00000277397",0,0,0,0,0,0
"ENSG00000271200",8,4,18,14,15,7
"LINC02791",0,0,0,0,0,0
"CYP4A43P",0,0,0,0,0,0
"MAGOH",2400,3400,3408,2884,2146,2271
"DEPDC1-AS1",4,4,8,11,2,10
"ENSG00000242391",1,20,1,10,0,14
"LINC01707",0,0,2,0,0,9
"ENSG00000284808",0,0,0,0,0,0
"ENSG00000237227",73,60,146,31,77,43
"TUBB6P1",2,0,0,0,0,0
"ENSG00000116652",16,11,56,7,12,11
"CDKN2C",2,2,4,27,0,10
"ENSG00000285778",0,0,0,2,0,0
"ENSG00000233407",0,0,0,0,0,0
"ENSG00000225675",7,18,26,15,9,5
"ELOCP18",0,0,0,0,0,0
"C1orf87",10,4,4,0,25,2
"ENSG00000280317",0,75,0,16,0,53
"ZSWIM5",223,303,896,387,272,317
"OMA1",661,839,858,510,625,595
"SLC35D1",504,1025,747,981,348,1004
"ENSG00000227644",0,0,0,0,0,0
"LRP8",4794,6482,5909,4631,4508,3778
"TCEANC2",888,735,1694,570,865,650
"KTI12",179,383,231,379,157,228
"LRRC42",2702,2212,4112,3161,2753,2367
"ENSG00000234204",0,0,0,0,0,0
"ENSG00000233099",0,0,0,0,0,0
"GDI2P2",12,14,13,22,8,8
"LINC01360",0,0,0,5,0,2
"ENSG00000237552",0,0,0,0,0,0
"KANK4",39,12,129,352,34,153
"ENSG00000227556",0,0,0,0,0,0
"USP1",3838,7500,7007,7675,4130,5433
"ERI3-IT1",5,8,7,3,6,16
"ENSG00000233271",0,0,0,0,0,0
"ENSG00000285954",0,0,0,0,0,1
"ENSG00000233333",0,0,0,0,0,0
"AK5",260,19,436,12,402,20
"ENSG00000234108",0,0,0,0,0,0
"ADH5P2",0,4,4,0,0,2
"ENSG00000225167",0,0,0,0,0,0
"ENSG00000213579",0,4,2,26,0,2
"GIPC2",48,40,90,38,58,50
"ENSG00000237852",0,2,5,1,4,1
"RPE65",2,23,4,0,14,0
"ANGPTL3",0,1,5,4,3,3
"ENSG00000285407",23,41,62,72,23,78
"ENSG00000272855",3,2,3,0,0,3
"ENSG00000270549",0,0,4,0,0,0
"ENSG00000237163",0,0,0,0,0,0
"KRT8P21",0,24,0,6,0,10
"DNAJC6",424,239,974,991,477,730
"AK4",8447,13234,15413,8115,6555,10980
"LEPROT",1679,2503,2648,4510,1127,2762
"RPL31P12",0,0,0,0,0,0
"ENSG00000227016",1,0,1,1,0,1
"ENSG00000233664",0,0,0,0,0,0
"CACHD1",2412,12374,7597,7753,3123,5988
"ENSG00000213703",0,3,0,16,0,4
"EFCAB7",222,167,418,232,182,186
"ENSG00000223479",0,0,0,0,0,0
"ENSG00000233674",1,2,3,4,0,0
"MCOLN2",178,24,241,14,173,6
"ST6GALNAC5",404,260,2139,316,289,121
"ATG4C",1676,1721,2581,1114,1435,1112
"ENSG00000285041",1,0,2,4,0,2
"ENSG00000285808",0,0,1,0,0,1
"ENSG00000229440",0,0,0,0,0,0
"COX6CP13",2,0,0,0,2,0
"ENSG00000213540",2,0,5,1,2,0
"ENSG00000277670",0,0,0,0,0,0
"PDE4B-AS1",0,0,0,0,0,0
"ASB17",0,0,0,0,0,0
"ENSG00000230498",4,3,30,3,2,7
"ENSG00000285782",0,0,0,0,0,0
"ADGRL4",471,2,637,254,109,197
"ENSG00000224493",0,0,0,1,0,0
"GJA9",0,0,0,0,0,0
"ENSG00000272371",0,2,0,0,1,0
"ENSG00000287647",0,0,0,0,0,0
"ENSG00000229225",0,0,0,0,0,0
"ENSG00000230863",2,27,31,70,2,72
"ENSG00000287224",2,0,2,0,0,0
"ENSG00000225598",0,0,0,0,0,0
"ENSG00000286455",0,0,0,0,0,0
"LOC105378798",28,14,17,13,33,18
"ENSG00000280378",7,11,18,8,4,7
"MTF1",917,1360,1397,1370,759,1163
"ENSG00000230053",0,0,0,0,0,0
"TTLL7",196,407,486,180,146,258
"ENSG00000224326",0,0,0,0,0,0
"ENSG00000286548",38,53,45,20,15,20
"KDM4A",4155,4362,5331,2483,2744,3355
"ENSG00000230027",0,0,0,2,0,0
"TTLL7-IT1",0,0,0,2,0,0
"ENSG00000272094",0,3,0,0,0,0
"NEGR1-IT1",0,0,0,0,0,0
"CAPNS1P1",0,0,0,0,0,0
"LINC02777",3,6,11,0,0,4
"ENSG00000260386",6,4,0,10,2,6
"LOC128125817",0,0,0,0,0,0
"ZNHIT6",1911,2685,2324,1829,1651,1934
"MGC27382",0,0,0,0,0,1
"MROH7",3,2,10,0,5,0
"LOC105378710",0,0,0,0,0,0
"ENSG00000225605",0,0,0,0,0,0
"ENSG00000225446",1,5,2,3,0,7
"ENSG00000288543",1,4,22,4,4,4
"PTGFR",8,0,10,4,12,12
"LINC02801",0,0,0,0,0,0
"EEF1GP7",0,0,0,0,0,0
"LMO4",4062,4572,5746,3663,3723,3741
"RPL17P6",72,66,148,94,74,58
"PRPF38A",3982,6397,6752,4792,3395,4032
"PIGK",1566,1735,1926,1694,1366,1577
"HNRNPA3P12",6,7,8,16,9,10
"ST6GALNAC3",807,567,2144,1085,925,768
"ENSG00000230953",8,9,16,8,4,2
"ENSG00000287743",4,4,13,1,2,1
"ENSG00000229332",0,0,0,0,0,0
"MTND2P30",0,2,0,0,0,0
"RPL7P10",0,0,0,6,0,2
"PKN2-AS1",7,4,40,5,11,3
"LOC105378810",0,0,3,0,1,0
"ENSG00000233216",0,0,0,0,0,0
"GUCA2A",0,0,2,29,0,8
"ENSG00000226804",0,0,2,0,0,0
"ENSG00000230728",1,0,4,0,0,0
"SLC25A6P3",0,0,0,0,0,0
"PSAT1P3",6,11,6,24,2,4
"DOCK7",2215,3321,5387,3853,2743,3360
"ENSG00000223920",0,0,0,0,0,0
"ENSG00000237453",0,0,0,0,0,0
"NEGR1",78,6,712,14,150,8
"ENSG00000285473",1,1,3,10,2,3
"ENSG00000237959",0,0,0,0,2,0
"LOC105375358",0,0,0,0,0,0
"ENSG00000234578",2,0,0,0,0,0
"FAAH",261,1303,608,622,339,781
"KYAT3",2703,2301,4844,2814,2919,2400
"ENSG00000229505",0,0,0,0,0,0
"LOC100421400",0,1,0,4,2,0
"ENSG00000285201",0,0,0,0,0,0
"SHISAL2A",24,23,50,23,8,16
"ENSG00000236407",0,0,0,0,0,0
"ENSG00000271949",0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0
"DNTTIP2",4653,8373,6727,7483,4774,5841
"ENSG00000235011",0,0,0,0,0,0
"RPS2P13",0,0,0,20,0,0
"ENSG00000226938",0,0,0,0,0,0
"HNRNPA1P64",2,2,0,2,0,0
"ENSG00000287587",3,2,2,0,0,0
"PTPRF",20406,16780,37596,17963,23527,17973
"DHCR24",13618,50370,32173,50330,15795,37590
"ENSG00000232882",12,44,34,44,19,50
"COL24A1",87,33,226,54,98,20
"BSND",20,74,65,63,23,38
"GPX7",710,692,953,1090,552,709
"SLC44A3",94,160,202,185,157,215
"ACTG1P21",0,4,0,34,0,8
"LINC01362",0,1,1,0,3,1
"PKN2",3376,3450,5336,4628,2463,3534
"DAB1-AS1",0,0,0,0,3,0
"MTCO1P21",0,0,0,1,0,2
"RPS2P11",4,4,12,60,2,4
"ENSG00000237899",1,5,9,2,1,5
"LOC100418965",0,2,0,0,0,0
"LINC01364",2,0,0,0,0,0
"ENSG00000229486",0,0,0,0,0,0
"ENSG00000282898",0,0,1,0,0,0
"ENSG00000285409",0,0,0,0,0,0
"MIR4422HG",0,0,2,0,0,2
"ABCD3",2359,3412,3333,3636,2179,2927
"MROH7-TTC4",0,0,1,0,0,0
"ALG14",117,292,160,414,99,268
"ZZZ3",3639,3331,5514,3231,2971,2900
"ENSG00000287724",1,2,0,1,0,8
"YIPF1",1342,1464,2133,1285,1253,1373
"LOC100131348",0,0,0,2,0,0
"ENSG00000287870",2,3,6,0,0,1
"ENSG00000235563",0,0,0,7,0,0
"HNRNPCP9",0,0,0,0,0,0
"ENSG00000232857",2,0,0,0,0,0
"ENSG00000273637",0,0,0,0,0,0
"LDLRAD1",0,0,0,12,0,3
"ENSG00000228838",0,3,0,0,0,0
"ENSG00000283761",22,25,33,24,9,19
"GJB4",5,10,5,6,5,10
"ENSG00000230759",0,0,0,0,0,0
"LOC100652967",0,0,0,0,0,0
"TMEM125",1570,209,1188,213,1140,260
"DMRTA2",2,6,2,6,0,4
"ENSG00000285525",0,0,0,4,0,0
"LOC124905716",0,0,0,0,0,0
"ENSG00000233514",12,25,14,16,10,10
"HIVEP3",229,62,183,204,80,171
"ENSG00000266993",7,51,45,33,10,45
"ENSG00000223675",0,0,0,0,0,0
"TM2D1",766,531,1025,602,561,522
"ENSG00000229316",0,0,0,4,0,2
"SCP2",3560,2731,4615,3272,2306,2332
"ENSG00000287406",23,26,62,24,27,22
"FAF1-AS1",0,3,0,0,0,0
"ENSG00000234099",0,0,0,0,0,0
"BCAR3",738,1132,1199,4642,816,2156
"ENSG00000235308",5,11,9,4,4,7
"MTCO3P21",0,0,0,0,0,0
"ENSG00000235829",0,0,0,3,0,2
"BARHL2",2,0,0,0,2,2
"ENSG00000226745",0,0,0,0,0,0
"DMAP1",2552,4261,3503,3636,1569,3528
"ENSG00000280040",0,0,0,0,0,1
"AHCYL1",11726,9230,16444,12232,9741,8230
"CNN3",12527,14639,21196,18203,11879,12704
"ENSG00000270507",0,0,0,0,0,0
"OOSP1P1",0,0,0,0,0,0
"ENSG00000215869",2,2,0,0,2,0
"VAV3",1541,525,1595,219,855,175
"ENSG00000227935",0,0,6,0,0,0
"ENSG00000228502",215,164,271,297,168,147
"LINC01361",4,4,8,4,4,10
"ENSG00000271277",0,0,0,0,0,0
"ENSG00000236888",0,0,0,0,0,0
"ENSG00000279778",0,0,3,0,0,0
"ENSG00000230955",0,0,0,0,0,0
"ENSG00000230828",0,0,1,0,0,0
"DPYD",8,4,50,3,42,9
"TLCD4",380,81,477,235,403,161
"ENSG00000237279",0,0,0,0,0,0
"ENSG00000233359",0,0,0,2,0,0
"ENSG00000237954",0,0,0,4,0,0
"POU3F1",2124,464,5705,148,1020,350
"LRRC8D",3659,3208,4570,2460,2764,2606
"ENSG00000233129",0,0,0,0,0,0
"S1PR1",50,16,230,50,116,51
"ENSG00000258634",646,847,1416,878,647,627
"ENSG00000233557",0,0,0,0,0,0
"ENSG00000237897",0,11,2,6,0,2
"ELAPOR1",93,6,142,36,49,48
"ARHGAP29",836,2449,844,6685,441,3121
"ENSG00000227832",0,0,0,14,0,2
"ENSG00000286692",0,0,2,2,0,0
"ENSG00000260464",20,14,32,32,24,15
"LINC02790",0,0,0,0,0,0
"ENSG00000231996",0,0,0,0,0,0
"ENSG00000273204",8,6,17,6,8,1
"PGM1",7565,9615,6685,10808,4397,7555
"IGSF21",744,110,1434,47,1329,39
"COA7",2285,6044,3687,5031,2304,3528
"RNPC3-DT",0,0,0,2,0,0
"ENSG00000215871",3,0,2,3,4,2
"ENSG00000287372",0,0,1,3,0,0
"ENSG00000232542",0,0,1,0,0,0
"OLFML3",6461,24677,5313,20687,5459,16528
"ENSG00000287756",0,4,0,0,0,0
"ENSG00000284652",0,0,4,0,4,0
"GCLM",1670,3626,1433,2635,1004,2089
"TGFBR3",405,192,648,1351,199,567
"ENSG00000232185",0,0,0,0,0,0
"VAV3-AS1",2,0,3,0,2,0
"RPS20P6",0,4,4,1,4,0
"RPL21P23",0,1,0,0,0,0
"ENSG00000224685",0,0,0,2,0,0
"ENSG00000287076",0,4,0,0,0,0
"ENSG00000237480",0,0,0,0,0,0
"ENSG00000271252",0,1,0,2,0,0
"ENSG00000230427",1,0,0,0,0,2
"MTND3P21",0,0,0,0,0,1
"ENSG00000286758",0,1,4,0,5,0
"ELAVL4-AS1",0,0,0,0,0,0
"LOC124904580",0,0,0,0,0,0
"SZT2",1115,3062,2112,1816,876,2221
"ENSG00000225183",0,1,2,1,0,0
"ENSG00000230402",0,0,0,0,0,0
"PHTF1",1530,3923,2691,2748,1233,2523
"ENSG00000238122",0,0,0,0,0,0
"ENSG00000260879",0,0,0,0,0,0
"ENSG00000283354",0,0,0,0,0,0
"RPL21P26",0,0,0,0,0,0
"ENSG00000236360",6,3,1,4,6,2
"RPSAP19",13,29,15,24,12,19
"ENSG00000234332",3,15,6,10,2,2
"F3",773,2025,424,4038,248,2751
"FTH1P22",0,0,0,2,0,0
"RPL7L1P21",0,0,0,0,0,0
"ENSG00000224238",0,5,0,0,0,4
"LINC01739",0,0,0,0,0,0
"ENSG00000162699",0,0,0,0,0,0
"VCAM1",4,14,18,138,4,16
"HSP90B3P",2,16,4,113,4,16
"ENSG00000270457",1,0,2,2,4,0
"HSD3BP2",0,0,1,0,0,0
"LINC01787",0,0,0,0,0,0
"SEC63P1",32,39,78,91,42,55
"CYP4A27P",0,0,0,0,0,0
"LINC01708",0,0,0,0,0,0
"MTATP6P13",0,1,0,0,0,0
"LOC100287840",0,0,0,0,0,0
"ENSG00000229201",0,0,0,0,0,0
"GPR88",0,2,2,36,2,4
"RWDD3",123,161,189,191,104,141
"MAN1A2",1813,2522,2977,3668,1908,3013
"LRIG2-DT",8,21,41,5,20,18
"LPAR3",1126,279,1686,174,997,147
"ENSG00000228852",17,25,29,18,6,25
"LINC02868",0,0,0,0,0,0
"ENSG00000233482",0,0,0,0,0,0
"LINC01753",0,0,0,0,0,0
"DPYD-AS1",0,0,0,0,0,0
"CTTNBP2NL",3472,2342,3785,2681,2032,2415
"RPS2P14",82,89,91,70,55,60
"ENSG00000223575",0,0,0,0,0,0
"LINC01676",0,0,0,0,0,0
"LINC01525",0,0,0,2,0,0
"ENSG00000272715",15,11,19,10,13,8
"ENSG00000235038",0,1,2,0,0,0
"STRIP1",2528,3905,4718,3862,1902,3692
"ENSG00000226415",144,181,246,195,127,125
"SLC25A24",1974,5007,1793,4709,2427,4162
"CIMAP3",854,806,792,1492,656,1061
"ENSG00000230434",0,0,0,0,0,0
"ENSG00000230718",0,0,0,0,0,0
"TSPAN2",685,131,1412,158,824,283
"ENSG00000235595",0,0,1,2,0,1
"LINC01776",0,0,4,0,0,0
"RPL26P9",0,0,0,0,0,0
"LRIG2",3028,2077,3800,1925,2175,1684
"ENSG00000279513",0,0,1,0,0,4
"SLC35A3",921,1254,1174,1192,821,1401
"ENSG00000280186",0,4,0,6,2,4
"ENSG00000223906",2,0,0,0,2,0
"AGL",1671,3611,3117,4792,2152,4837
