"","E5C3_E8","E5C3_L3i","H9_E8","H9_L3i","RUES02_E8","RUES02_L3i"
"ENSG00000204464",0,0,3,1,4,2
"ENSG00000233372",0,0,0,0,0,0
"ENSG00000283259",0,0,0,0,0,0
"ENSG00000284543",13,1,1,14,2,4
"ENSG00000130939",7656,11438,13389,8954,6794,9700
"ENSG00000175147",98,190,171,269,53,124
"ENSG00000127472",4,8,6,15,2,11
"ENSG00000060656",4213,3196,6321,3175,4950,3302
"ENSG00000163867",596,667,681,573,481,590
"ENSG00000232768",0,2,0,2,2,0
"ENSG00000230214",0,0,0,0,0,0
"ENSG00000189280",8,4,16,16,6,16
"ENSG00000134698",1645,1151,2988,1301,1774,1049
"ENSG00000134690",4412,5031,7031,4372,3862,3694
"ENSG00000272420",4,10,11,4,6,4
"ENSG00000132881",167,155,236,127,112,161
"ENSG00000273274",468,367,819,223,406,370
"ENSG00000272510",1,0,0,0,1,4
"ENSG00000236648",0,0,0,0,0,0
"ENSG00000232273",0,10,0,13,1,2
"ENSG00000009709",10,28,155,12,9,0
"ENSG00000287396",0,0,0,0,0,0
"ENSG00000223589",0,4,0,0,0,2
"ENSG00000158008",76,68,168,87,83,71
"ENSG00000130940",325,146,658,119,277,114
"ENSG00000116771",211,124,565,171,467,110
"ENSG00000237301",14,14,12,7,8,0
"ENSG00000163879",709,180,1758,242,650,136
"ENSG00000227527",3,3,16,5,9,10
"ENSG00000116954",1401,1396,1175,1671,629,1383
"ENSG00000228589",68,148,155,140,66,52
"ENSG00000163873",52,37,349,44,118,66
"ENSG00000117215",0,0,0,0,0,0
"ENSG00000196449",1141,1460,1240,1730,1100,1150
"ENSG00000230163",0,0,0,0,0,0
"ENSG00000227538",0,0,0,16,0,0
"ENSG00000236500",0,0,0,0,0,0
"ENSG00000044012",0,0,0,0,0,0
"ENSG00000179051",31048,57540,46295,39667,29463,40543
"ENSG00000215895",15,33,14,97,6,22
"ENSG00000284650",0,0,0,0,0,0
"ENSG00000237329",0,2,1,0,2,0
"ENSG00000236948",0,0,0,0,0,0
"ENSG00000126067",8965,10402,10841,9169,6711,7239
"ENSG00000274944",1,0,0,0,1,1
"ENSG00000132906",810,1275,1727,850,844,749
"ENSG00000197312",2798,5893,4510,5059,3130,4515
"ENSG00000284748",0,0,0,2,0,0
"ENSG00000272078",60,51,135,14,50,26
"ENSG00000173660",10248,22485,12903,17828,8917,14085
"ENSG00000224592",104,19,227,11,68,10
"ENSG00000233728",0,0,0,0,0,0
"ENSG00000230451",0,0,0,2,0,0
"ENSG00000231606",0,0,0,0,0,0
"ENSG00000215900",0,2,0,6,0,2
"ENSG00000284632",0,0,0,2,0,0
"ENSG00000241014",5,1,8,6,7,4
"ENSG00000054118",12905,23846,25107,22175,16545,18669
"ENSG00000254553",0,0,1,0,0,0
"ENSG00000284653",0,0,0,0,0,0
"ENSG00000237749",6,34,14,218,4,28
"ENSG00000276747",1,0,1,2,0,8
"ENSG00000284705",10,0,16,0,14,0
"ENSG00000228776",0,0,0,0,0,0
"ENSG00000159339",43,40,31,12,9,14
"ENSG00000197982",1351,2447,1953,2524,1192,1949
"ENSG00000261781",0,0,0,0,0,0
"ENSG00000183317",28,22,97,6,46,9
"ENSG00000183386",2168,2101,2067,2736,2394,2257
"ENSG00000284743",0,0,0,0,0,0
"ENSG00000158315",21,1,42,5,31,16
"ENSG00000204084",1831,1493,2727,1238,1921,1304
"ENSG00000186973",13,29,128,11,14,13
"ENSG00000146463",6243,8195,10537,6101,5185,6994
"ENSG00000183520",2843,3607,3285,3502,2621,2812
"ENSG00000271741",0,0,0,0,0,0
"ENSG00000214141",0,0,0,4,0,0
"ENSG00000142686",570,1313,872,1336,634,1240
"ENSG00000224751",0,2,4,0,0,1
"ENSG00000117148",16,20,61,12,37,18
"ENSG00000230585",16,7,5,2,1,3
"ENSG00000117000",2083,2466,4198,2447,1697,1976
"ENSG00000284989",0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0
"ENSG00000092853",2129,6167,3680,4780,2430,4027
"ENSG00000255811",0,0,0,0,0,0
"ENSG00000134697",8708,9389,10260,9241,7719,7306
"ENSG00000187513",25,36,130,28,46,26
"ENSG00000238145",0,0,0,0,0,0
"ENSG00000225142",0,2,0,34,0,2
"ENSG00000230138",0,0,0,4,0,2
"ENSG00000223390",5,1,0,0,0,2
"ENSG00000284720",0,0,4,4,4,2
"ENSG00000225671",0,0,2,2,0,0
"ENSG00000116151",229,481,509,370,194,342
"ENSG00000226147",0,0,0,0,0,0
"ENSG00000006555",64,26,95,20,64,15
"ENSG00000236111",2,8,8,6,4,2
"ENSG00000066056",285,14,457,4,149,16
"ENSG00000214114",1025,1367,1514,1264,1018,1022
"ENSG00000116544",637,120,745,236,748,217
"ENSG00000231900",0,0,0,0,0,0
"ENSG00000236723",1,10,3,9,3,6
"ENSG00000232467",0,0,0,0,0,2
"ENSG00000117016",3847,963,7804,889,3671,810
"ENSG00000121310",1405,2746,2141,1654,774,1889
"ENSG00000169213",10854,13760,11368,8872,5792,7015
"ENSG00000163866",1794,2341,2294,3003,1438,2151
"ENSG00000225779",0,1,0,0,0,1
"ENSG00000284601",1,0,0,0,5,0
"ENSG00000237130",0,0,0,0,0,0
"ENSG00000143001",16,2,28,2,24,2
"ENSG00000227416",0,0,0,0,0,0
"ENSG00000232335",0,4,1,0,1,2
"ENSG00000260971",2,8,4,3,0,5
"ENSG00000259832",0,0,0,0,0,0
"ENSG00000284696",0,0,0,0,0,0
"ENSG00000238242",0,0,0,0,0,0
"ENSG00000285839",0,0,0,0,0,0
"ENSG00000237290",2,1,16,0,5,0
"ENSG00000232762",6,30,1,6,3,14
"ENSG00000117419",4020,3435,6006,3301,3567,2513
"ENSG00000162384",2339,2635,3929,2228,1996,2106
"ENSG00000162391",12,7,19,17,13,27
"ENSG00000174348",19,8,33,168,6,20
"ENSG00000117859",6895,4782,9102,6659,6210,5713
"ENSG00000228121",0,2,2,9,2,8
"ENSG00000253313",531,136,458,184,463,212
"ENSG00000162396",794,692,1143,545,733,593
"ENSG00000203995",203,2015,144,1367,145,1452
"ENSG00000284686",9,12,5,4,4,6
"ENSG00000162378",2707,2908,3847,3377,2448,2893
"ENSG00000233079",0,0,0,0,0,0
"ENSG00000259818",4,5,4,6,0,0
"ENSG00000229444",0,0,0,0,1,0
"ENSG00000240563",41589,72562,63258,43295,34966,43602
"ENSG00000234318",1,2,1,1,1,0
"ENSG00000284773",23,9,50,12,25,10
"ENSG00000234481",0,0,0,0,0,0
"ENSG00000117862",1018,803,1246,813,776,668
"ENSG00000235612",0,0,0,0,0,0
"ENSG00000228369",1,4,2,2,1,6
"ENSG00000183431",9630,15488,14735,13880,9768,12111
"ENSG00000227485",0,0,0,0,0,0
"ENSG00000224609",25,24,72,21,16,10
"ENSG00000235545",10,56,55,19,15,16
"ENSG00000236646",0,2,0,0,0,0
"ENSG00000232198",0,0,0,0,0,0
"ENSG00000238063",0,1,0,0,0,0
"ENSG00000227104",0,0,0,0,0,0
"ENSG00000243725",133,184,199,126,111,126
"ENSG00000171872",2,8,0,0,0,6
"ENSG00000162407",3544,2106,3206,1811,2531,1540
"ENSG00000285079",0,0,0,0,0,0
"ENSG00000169218",8,20,22,28,9,1
"ENSG00000163877",1171,1287,1802,1204,925,1095
"ENSG00000228929",141,137,314,156,110,113
"ENSG00000224570",0,0,0,7,2,2
"ENSG00000224980",0,0,0,0,0,0
"ENSG00000278967",0,6,6,2,5,0
"ENSG00000157184",1153,1359,2121,1197,1369,995
"ENSG00000198815",4188,3789,5980,3909,3208,3243
"ENSG00000134744",4289,4946,6248,3731,3081,4725
"ENSG00000233910",0,0,5,0,1,0
"ENSG00000287703",0,0,0,0,0,0
"ENSG00000283039",17,2,2,0,10,0
"ENSG00000229032",6,5,0,0,0,0
"ENSG00000229294",0,0,0,0,0,0
"ENSG00000232993",0,0,0,0,0,0
"ENSG00000234088",0,0,0,0,0,0
"ENSG00000236973",0,6,0,62,0,8
"ENSG00000277397",0,0,0,0,0,0
"ENSG00000271200",8,4,18,14,15,7
"ENSG00000235446",0,0,0,0,0,0
"ENSG00000261196",0,0,0,0,0,0
"ENSG00000162385",2400,3400,3408,2884,2146,2271
"ENSG00000234264",4,4,8,11,2,10
"ENSG00000242391",1,20,1,10,0,14
"ENSG00000223883",0,0,2,0,0,9
"ENSG00000284808",0,0,0,0,0,0
"ENSG00000237227",73,60,146,31,77,43
"ENSG00000275350",2,0,0,0,0,0
"ENSG00000116652",16,11,56,7,12,11
"ENSG00000123080",2,2,4,27,0,10
"ENSG00000285778",0,0,0,2,0,0
"ENSG00000233407",0,0,0,0,0,0
"ENSG00000225675",7,18,26,15,9,5
"ENSG00000237622",0,0,0,0,0,0
"ENSG00000162598",10,4,4,0,25,2
"ENSG00000280317",0,75,0,16,0,53
"ENSG00000162415",223,303,896,387,272,317
"ENSG00000162600",661,839,858,510,625,595
"ENSG00000116704",504,1025,747,981,348,1004
"ENSG00000227644",0,0,0,0,0,0
"ENSG00000157193",4794,6482,5909,4631,4508,3778
"ENSG00000116205",888,735,1694,570,865,650
"ENSG00000198841",179,383,231,379,157,228
"ENSG00000116212",2702,2212,4112,3161,2753,2367
"ENSG00000234204",0,0,0,0,0,0
"ENSG00000233099",0,0,0,0,0,0
"ENSG00000233994",12,14,13,22,8,8
"ENSG00000233973",0,0,0,5,0,2
"ENSG00000237552",0,0,0,0,0,0
"ENSG00000132854",39,12,129,352,34,153
"ENSG00000227556",0,0,0,0,0,0
"ENSG00000162607",3838,7500,7007,7675,4130,5433
"ENSG00000233602",5,8,7,3,6,16
"ENSG00000233271",0,0,0,0,0,0
"ENSG00000285954",0,0,0,0,0,1
"ENSG00000233333",0,0,0,0,0,0
"ENSG00000154027",260,19,436,12,402,20
"ENSG00000234108",0,0,0,0,0,0
"ENSG00000232676",0,4,4,0,0,2
"ENSG00000225167",0,0,0,0,0,0
"ENSG00000213579",0,4,2,26,0,2
"ENSG00000137960",48,40,90,38,58,50
"ENSG00000237852",0,2,5,1,4,1
"ENSG00000116745",2,23,4,0,14,0
"ENSG00000132855",0,1,5,4,3,3
"ENSG00000285407",23,41,62,72,23,78
"ENSG00000272855",3,2,3,0,0,3
"ENSG00000270549",0,0,4,0,0,0
"ENSG00000237163",0,0,0,0,0,0
"ENSG00000229636",0,24,0,6,0,10
"ENSG00000116675",424,239,974,991,477,730
"ENSG00000162433",8447,13234,15413,8115,6555,10980
"ENSG00000213625",1679,2503,2648,4510,1127,2762
"ENSG00000227207",0,0,0,0,0,0
"ENSG00000227016",1,0,1,1,0,1
"ENSG00000233664",0,0,0,0,0,0
"ENSG00000158966",2412,12374,7597,7753,3123,5988
"ENSG00000213703",0,3,0,16,0,4
"ENSG00000203965",222,167,418,232,182,186
"ENSG00000223479",0,0,0,0,0,0
"ENSG00000233674",1,2,3,4,0,0
"ENSG00000153898",178,24,241,14,173,6
"ENSG00000117069",404,260,2139,316,289,121
"ENSG00000125703",1676,1721,2581,1114,1435,1112
"ENSG00000285041",1,0,2,4,0,2
"ENSG00000285808",0,0,1,0,0,1
"ENSG00000229440",0,0,0,0,0,0
"ENSG00000234144",2,0,0,0,2,0
"ENSG00000213540",2,0,5,1,2,0
"ENSG00000277670",0,0,0,0,0,0
"ENSG00000227466",0,0,0,0,0,0
"ENSG00000154007",0,0,0,0,0,0
"ENSG00000230498",4,3,30,3,2,7
"ENSG00000285782",0,0,0,0,0,0
"ENSG00000162618",471,2,637,254,109,197
"ENSG00000224493",0,0,0,1,0,0
"ENSG00000131233",0,0,0,0,0,0
"ENSG00000272371",0,2,0,0,1,0
"ENSG00000287647",0,0,0,0,0,0
"ENSG00000229225",0,0,0,0,0,0
"ENSG00000230863",2,27,31,70,2,72
"ENSG00000287224",2,0,2,0,0,0
"ENSG00000225598",0,0,0,0,0,0
"ENSG00000286455",0,0,0,0,0,0
"ENSG00000225087",28,14,17,13,33,18
"ENSG00000280378",7,11,18,8,4,7
"ENSG00000188786",917,1360,1397,1370,759,1163
"ENSG00000230053",0,0,0,0,0,0
"ENSG00000137941",196,407,486,180,146,258
"ENSG00000224326",0,0,0,0,0,0
"ENSG00000286548",38,53,45,20,15,20
"ENSG00000066135",4155,4362,5331,2483,2744,3355
"ENSG00000230027",0,0,0,2,0,0
"ENSG00000233061",0,0,0,2,0,0
"ENSG00000272094",0,3,0,0,0,0
"ENSG00000228853",0,0,0,0,0,0
"ENSG00000215874",0,0,0,0,0,0
"ENSG00000232453",3,6,11,0,0,4
"ENSG00000260386",6,4,0,10,2,6
"ENSG00000284895",0,0,0,0,0,0
"ENSG00000117174",1911,2685,2324,1829,1651,1934
"ENSG00000237413",0,0,0,0,0,1
"ENSG00000184313",3,2,10,0,5,0
"ENSG00000284645",0,0,0,0,0,0
"ENSG00000225605",0,0,0,0,0,0
"ENSG00000225446",1,5,2,3,0,7
"ENSG00000288543",1,4,22,4,4,4
"ENSG00000122420",8,0,10,4,12,12
"ENSG00000284240",0,0,0,0,0,0
"ENSG00000236290",0,0,0,0,0,0
"ENSG00000143013",4062,4572,5746,3663,3723,3741
"ENSG00000226084",72,66,148,94,74,58
"ENSG00000134748",3982,6397,6752,4792,3395,4032
"ENSG00000142892",1566,1735,1926,1694,1366,1577
"ENSG00000219102",6,7,8,16,9,10
"ENSG00000184005",807,567,2144,1085,925,768
"ENSG00000230953",8,9,16,8,4,2
"ENSG00000287743",4,4,13,1,2,1
"ENSG00000229332",0,0,0,0,0,0
"ENSG00000227937",0,2,0,0,0,0
"ENSG00000229752",0,0,0,6,0,2
"ENSG00000237505",7,4,40,5,11,3
"ENSG00000285462",0,0,3,0,1,0
"ENSG00000233216",0,0,0,0,0,0
"ENSG00000197273",0,0,2,29,0,8
"ENSG00000226804",0,0,2,0,0,0
"ENSG00000230728",1,0,4,0,0,0
"ENSG00000232846",0,0,0,0,0,0
"ENSG00000230787",6,11,6,24,2,4
"ENSG00000116641",2215,3321,5387,3853,2743,3360
"ENSG00000223920",0,0,0,0,0,0
"ENSG00000237453",0,0,0,0,0,0
"ENSG00000172260",78,6,712,14,150,8
"ENSG00000285473",1,1,3,10,2,3
"ENSG00000237959",0,0,0,0,2,0
"ENSG00000231364",0,0,0,0,0,0
"ENSG00000234578",2,0,0,0,0,0
"ENSG00000117480",261,1303,608,622,339,781
"ENSG00000137944",2703,2301,4844,2814,2919,2400
"ENSG00000229505",0,0,0,0,0,0
"ENSG00000228187",0,1,0,4,2,0
"ENSG00000285201",0,0,0,0,0,0
"ENSG00000182183",24,23,50,23,8,16
"ENSG00000236407",0,0,0,0,0,0
"ENSG00000271949",0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0
"ENSG00000067334",4653,8373,6727,7483,4774,5841
"ENSG00000235011",0,0,0,0,0,0
"ENSG00000235673",0,0,0,20,0,0
"ENSG00000226938",0,0,0,0,0,0
"ENSG00000213559",2,2,0,2,0,0
"ENSG00000287587",3,2,2,0,0,0
"ENSG00000142949",20406,16780,37596,17963,23527,17973
"ENSG00000116133",13618,50370,32173,50330,15795,37590
"ENSG00000232882",12,44,34,44,19,50
"ENSG00000171502",87,33,226,54,98,20
"ENSG00000162399",20,74,65,63,23,38
"ENSG00000116157",710,692,953,1090,552,709
"ENSG00000143036",94,160,202,185,157,215
"ENSG00000232672",0,4,0,34,0,8
"ENSG00000230817",0,1,1,0,3,1
"ENSG00000065243",3376,3450,5336,4628,2463,3534
"ENSG00000226759",0,0,0,0,3,0
"ENSG00000226960",0,0,0,1,0,2
"ENSG00000234080",4,4,12,60,2,4
"ENSG00000237899",1,5,9,2,1,5
"ENSG00000223905",0,2,0,0,0,0
"ENSG00000227290",2,0,0,0,0,0
"ENSG00000229486",0,0,0,0,0,0
"ENSG00000282898",0,0,1,0,0,0
"ENSG00000285409",0,0,0,0,0,0
"ENSG00000231090",0,0,2,0,0,2
"ENSG00000117528",2359,3412,3333,3636,2179,2927
"ENSG00000271723",0,0,1,0,0,0
"ENSG00000172339",117,292,160,414,99,268
"ENSG00000036549",3639,3331,5514,3231,2971,2900
"ENSG00000287724",1,2,0,1,0,8
"ENSG00000058799",1342,1464,2133,1285,1253,1373
"ENSG00000225191",0,0,0,2,0,0
"ENSG00000287870",2,3,6,0,0,1
"ENSG00000235563",0,0,0,7,0,0
"ENSG00000232048",0,0,0,0,0,0
"ENSG00000232857",2,0,0,0,0,0
"ENSG00000273637",0,0,0,0,0,0
"ENSG00000203985",0,0,0,12,0,3
"ENSG00000228838",0,3,0,0,0,0
"ENSG00000283761",22,25,33,24,9,19
"ENSG00000189433",5,10,5,6,5,10
"ENSG00000230759",0,0,0,0,0,0
"ENSG00000231866",0,0,0,0,0,0
"ENSG00000179178",1570,209,1188,213,1140,260
"ENSG00000142700",2,6,2,6,0,4
"ENSG00000285525",0,0,0,4,0,0
"ENSG00000236098",0,0,0,0,0,0
"ENSG00000233514",12,25,14,16,10,10
"ENSG00000127124",229,62,183,204,80,171
"ENSG00000266993",7,51,45,33,10,45
"ENSG00000223675",0,0,0,0,0,0
"ENSG00000162604",766,531,1025,602,561,522
"ENSG00000229316",0,0,0,4,0,2
"ENSG00000116171",3560,2731,4615,3272,2306,2332
"ENSG00000287406",23,26,62,24,27,22
"ENSG00000225767",0,3,0,0,0,0
"ENSG00000234099",0,0,0,0,0,0
"ENSG00000137936",738,1132,1199,4642,816,2156
"ENSG00000235308",5,11,9,4,4,7
"ENSG00000232752",0,0,0,0,0,0
"ENSG00000235829",0,0,0,3,0,2
"ENSG00000143032",2,0,0,0,2,2
"ENSG00000226745",0,0,0,0,0,0
"ENSG00000178028",2552,4261,3503,3636,1569,3528
"ENSG00000280040",0,0,0,0,0,1
"ENSG00000168710",11726,9230,16444,12232,9741,8230
"ENSG00000117519",12527,14639,21196,18203,11879,12704
"ENSG00000270507",0,0,0,0,0,0
"ENSG00000238037",0,0,0,0,0,0
"ENSG00000215869",2,2,0,0,2,0
"ENSG00000134215",1541,525,1595,219,855,175
"ENSG00000227935",0,0,6,0,0,0
"ENSG00000228502",215,164,271,297,168,147
"ENSG00000236268",4,4,8,4,4,10
"ENSG00000271277",0,0,0,0,0,0
"ENSG00000236888",0,0,0,0,0,0
"ENSG00000279778",0,0,3,0,0,0
"ENSG00000230955",0,0,0,0,0,0
"ENSG00000230828",0,0,1,0,0,0
"ENSG00000188641",8,4,50,3,42,9
"ENSG00000152078",380,81,477,235,403,161
"ENSG00000237279",0,0,0,0,0,0
"ENSG00000233359",0,0,0,2,0,0
"ENSG00000237954",0,0,0,4,0,0
"ENSG00000185668",2124,464,5705,148,1020,350
"ENSG00000171492",3659,3208,4570,2460,2764,2606
"ENSG00000233129",0,0,0,0,0,0
"ENSG00000170989",50,16,230,50,116,51
"ENSG00000258634",646,847,1416,878,647,627
"ENSG00000233557",0,0,0,0,0,0
"ENSG00000237897",0,11,2,6,0,2
"ENSG00000116299",93,6,142,36,49,48
"ENSG00000137962",836,2449,844,6685,441,3121
"ENSG00000227832",0,0,0,14,0,2
"ENSG00000286692",0,0,2,2,0,0
"ENSG00000260464",20,14,32,32,24,15
"ENSG00000237435",0,0,0,0,0,0
"ENSG00000231996",0,0,0,0,0,0
"ENSG00000273204",8,6,17,6,8,1
"ENSG00000079739",7565,9615,6685,10808,4397,7555
"ENSG00000117154",744,110,1434,47,1329,39
"ENSG00000162377",2285,6044,3687,5031,2304,3528
"ENSG00000224613",0,0,0,2,0,0
"ENSG00000215871",3,0,2,3,4,2
"ENSG00000287372",0,0,1,3,0,0
"ENSG00000232542",0,0,1,0,0,0
"ENSG00000116774",6461,24677,5313,20687,5459,16528
"ENSG00000287756",0,4,0,0,0,0
"ENSG00000284652",0,0,4,0,4,0
"ENSG00000023909",1670,3626,1433,2635,1004,2089
"ENSG00000069702",405,192,648,1351,199,567
"ENSG00000232185",0,0,0,0,0,0
"ENSG00000230489",2,0,3,0,2,0
"ENSG00000228399",0,4,4,1,4,0
"ENSG00000236776",0,1,0,0,0,0
"ENSG00000224685",0,0,0,2,0,0
"ENSG00000287076",0,4,0,0,0,0
"ENSG00000237480",0,0,0,0,0,0
"ENSG00000271252",0,1,0,2,0,0
"ENSG00000230427",1,0,0,0,0,2
"ENSG00000235794",0,0,0,0,0,1
"ENSG00000286758",0,1,4,0,5,0
"ENSG00000237337",0,0,0,0,0,0
"ENSG00000233983",0,0,0,0,0,0
"ENSG00000198198",1115,3062,2112,1816,876,2221
"ENSG00000225183",0,1,2,1,0,0
"ENSG00000230402",0,0,0,0,0,0
"ENSG00000116793",1530,3923,2691,2748,1233,2523
"ENSG00000238122",0,0,0,0,0,0
"ENSG00000260879",0,0,0,0,0,0
"ENSG00000283354",0,0,0,0,0,0
"ENSG00000232918",0,0,0,0,0,0
"ENSG00000236360",6,3,1,4,6,2
"ENSG00000183298",13,29,15,24,12,19
"ENSG00000234332",3,15,6,10,2,2
"ENSG00000117525",773,2025,424,4038,248,2751
"ENSG00000225079",0,0,0,2,0,0
"ENSG00000226483",0,0,0,0,0,0
"ENSG00000224238",0,5,0,0,0,4
"ENSG00000229537",0,0,0,0,0,0
"ENSG00000162699",0,0,0,0,0,0
"ENSG00000162692",4,14,18,138,4,16
"ENSG00000203914",2,16,4,113,4,16
"ENSG00000270457",1,0,2,2,4,0
"ENSG00000203858",0,0,1,0,0,0
"ENSG00000231987",0,0,0,0,0,0
"ENSG00000228057",32,39,78,91,42,55
"ENSG00000261593",0,0,0,0,0,0
